Day of created_date;game mode;Avg. game sessions;dau
10 февраля 2023 г.;ho;15,784341109;274962
11 февраля 2023 г.;ho;14,846363592;266623
12 февраля 2023 г.;ho;15,712126441;272380
13 февраля 2023 г.;ho;20,851936915;274741
14 февраля 2023 г.;ho;21,755137516;274987
15 февраля 2023 г.;ho;21,352782336;276638
16 февраля 2023 г.;ho;21,337728378;276296
17 февраля 2023 г.;ho;19,202593146;273953
18 февраля 2023 г.;ho;19,523585822;267576
19 февраля 2023 г.;ho;20,283190935;272710
20 февраля 2023 г.;ho;22,192150984;276850
21 февраля 2023 г.;ho;21,736489285;277613
22 февраля 2023 г.;ho;23,593847724;278206
23 февраля 2023 г.;ho;23,737117679;275979
24 февраля 2023 г.;ho;17,964931591;272553
25 февраля 2023 г.;ho;16,222095836;264620
26 февраля 2023 г.;ho;16,402329127;269543
27 февраля 2023 г.;ho;15,075017428;269684
28 февраля 2023 г.;ho;15,307668801;268334
1 марта 2023 г.;ho;22,987061150;268030
2 марта 2023 г.;ho;26,178277283;265418
3 марта 2023 г.;ho;22,531520330;264607
4 марта 2023 г.;ho;22,590919494;266527
5 марта 2023 г.;ho;22,089539773;272996
6 марта 2023 г.;ho;22,742949599;276580
7 марта 2023 г.;ho;23,022749813;277277
8 марта 2023 г.;ho;22,383716550;276084
9 марта 2023 г.;ho;23,255424373;277221
10 марта 2023 г.;ho;16,303447925;275006
11 марта 2023 г.;ho;19,988064019;266170
12 марта 2023 г.;ho;16,245756966;272859
13 марта 2023 г.;ho;20,630054462;275054
14 марта 2023 г.;ho;21,776908561;276622
15 марта 2023 г.;ho;21,100214691;275279
16 марта 2023 г.;ho;21,155093636;272919
17 марта 2023 г.;ho;19,032050142;269796
18 марта 2023 г.;ho;24,645750966;264060
19 марта 2023 г.;ho;21,509323919;271077
20 марта 2023 г.;ho;22,178075386;273738
21 марта 2023 г.;ho;26,218770381;275988
22 марта 2023 г.;ho;24,659421262;275669
23 марта 2023 г.;ho;24,533310549;275048
24 марта 2023 г.;ho;17,915647827;270651
25 марта 2023 г.;ho;16,226857669;261847
26 марта 2023 г.;ho;16,622009605;266729
27 марта 2023 г.;ho;15,253209954;267683
28 марта 2023 г.;ho;15,559826075;266322
29 марта 2023 г.;ho;17,302648233;268632
30 марта 2023 г.;ho;26,512493868;275215
31 марта 2023 г.;ho;24,440910883;279070
1 апреля 2023 г.;ho;23,964762041;279670
2 апреля 2023 г.;ho;22,879174493;284286
3 апреля 2023 г.;ho;24,097767805;284787
4 апреля 2023 г.;ho;24,259205095;285141
5 апреля 2023 г.;ho;23,416251553;284059
6 апреля 2023 г.;ho;23,147100399;280849
7 апреля 2023 г.;ho;17,243512773;277661
8 апреля 2023 г.;ho;19,658500191;267394
9 апреля 2023 г.;ho;16,300556883;268638
10 апреля 2023 г.;ho;22,106003328;280661
11 апреля 2023 г.;ho;22,955776368;282089
